gene_u,gene_v,bucket_pen,pen_diff,dist_diff,ppr_diff,model_score,composite_score,novelty_weight,confidence,global_rank,rank_in_bucket
FOXM1,MAP2,4,0.8040714789749535,0.3469890510948903,-0.007577522457365,-2.3125026646691653,0.3950004588138665,1.0,High,48,48
FOXM1,RIT1,4,0.8034855733916588,0.3469890510948903,-0.007577522457365,-2.3125026646691653,0.3950004588138665,1.0,High,49,49
FLOT2,TERF2IP,4,0.8432767775347578,0.3273266423357661,-0.0056718584935154,-2.3971334918253957,0.38208888889611137,1.0,High,50,50
FOXM1,TERF2IP,4,0.8485104712581979,0.352782846715328,-0.0051535869423676,-2.3971334918253957,0.38208888889611137,1.0,High,51,51
FCGR2B,TERF2IP,4,0.8199694920150229,0.4202098540145984,-0.005635771761506,-2.4067624278535296,0.3806198653152437,1.0,High,52,52
CEACAM1,MAP2,4,0.8183420170841309,0.4214416058394166,-0.0075387345715149,-2.4067624278535296,0.3806198653152437,1.0,High,53,53
CEACAM1,RIT2,4,0.8177664383278884,0.4214416058394166,-0.0075387345715149,-2.4067624278535296,0.3806198653152437,1.0,High,54,54
CEACAM1,RIT1,4,0.8177561115008345,0.4214416058394166,-0.0075387345715149,-2.4067624278535296,0.3806198653152437,1.0,High,55,55
PDX1,TERF2IP,4,0.8151179527916419,0.3942518248175179,-0.0049757138205709,-2.4067624278535296,0.3806198653152437,1.0,High,56,56
RAP1GAP,ELK4,4,0.8186191474435525,0.397445255474453,-0.0110959502441868,-2.4067624278535296,0.3806198653152437,1.0,High,57,57
TERF2IP,RIT2,4,1.126493999917466,0.6678375912408763,-0.0122595606949741,-2.4652003823082316,0.3717043700974125,1.0,High,58,58
MAP2,TERF2IP,4,1.1270695786737086,0.6678375912408763,-0.0122595606949741,-2.4652003823082316,0.3717043700974125,1.0,High,59,59
RIT1,TERF2IP,4,1.1264836730904122,0.6678375912408763,-0.0122595606949741,-2.4652003823082316,0.3717043700974125,1.0,High,60,60
TERF2IP,TLK1,4,1.120314915610951,0.6914233576642337,-0.0151105026388333,-2.4652003823082316,0.3717043700974125,1.0,High,61,61
DDX5,TERF2IP,4,1.1161859984319022,0.6925638686131386,-0.0177154159590374,-2.4652003823082316,0.3717043700974125,1.0,High,62,62
RAP1GAP,MDFI,4,0.8051235340238598,0.485310218978102,-0.0026863886854379,-2.5464953369004935,0.35930173236540675,1.0,High,63,63
MARK2,TERF2IP,4,0.8196924854537144,0.3284671532846714,-0.0059171107773901,-2.5764476686134032,0.3547321016751961,1.0,High,64,64
RAP1GAP,KSR1,4,0.8914072710766252,0.5590784671532845,-0.0031960724200225,-2.58460795553352,0.35348714025087336,1.0,High,65,65
BRSK2,TERF2,4,0.9072271489291506,0.6249087591240872,-0.0037828849892001,-2.58460795553352,0.35348714025087336,1.0,High,66,66
BRSK1,TERF2,4,0.9072249019931532,0.6249087591240872,-0.0037828849892001,-2.58460795553352,0.35348714025087336,1.0,High,67,67
RAP1GAP,FOXA2,4,0.8880590001237882,0.5251368613138685,-0.0031099808994623,-2.58460795553352,0.35348714025087336,1.0,High,68,68
BRSK2,KSR1,4,0.8318724899929926,0.6629105839416054,-0.004001171722815,-2.58460795553352,0.35348714025087336,1.0,High,69,69
RHEB,TERF2,4,0.87147669500267,0.454653284671533,-0.0027385598583334,-2.58460795553352,0.35348714025087336,1.0,High,70,70
TERF2,DOK1,4,0.8339663557958126,0.551459854014599,-0.0028632703085725,-2.58460795553352,0.35348714025087336,1.0,High,71,71
BRSK2,FOXA2,4,0.8285242190401583,0.628968978102189,-0.0039150802022548,-2.58460795553352,0.35348714025087336,1.0,High,72,72
BRSK1,FOXA2,4,0.828521972104161,0.628968978102189,-0.0039150802022548,-2.58460795553352,0.35348714025087336,1.0,High,73,73
BRSK1,KSR1,4,0.8318702430569953,0.6629105839416054,-0.004001171722815,-2.58460795553352,0.35348714025087336,1.0,High,74,74
RAP1GAP,TERF2,4,0.9667619300127832,0.5210766423357667,-0.0029777856864076,-2.6461667044535067,0.3440955259013801,1.0,High,75,75
TLK1,RIT2,4,1.0753003445714668,0.685629562043796,-0.0175344381538307,-2.6579639441911356,0.3422956984528343,1.0,High,76,76
RIT1,RIT2,4,1.081469102050928,0.6620437956204381,-0.0146834962099715,-2.6579639441911356,0.3422956984528343,1.0,High,77,77
TERF2,RIT2,4,1.0455475487970904,0.6326642335766426,-0.0082787305236461,-2.6579639441911356,0.3422956984528343,1.0,High,78,78
MAP2,TLK1,4,1.0758759233277075,0.685629562043796,-0.0175344381538307,-2.6579639441911356,0.3422956984528343,1.0,High,79,79
RIT1,MAP2,4,1.0820446808071704,0.6620437956204381,-0.0146834962099715,-2.6579639441911356,0.3422956984528343,1.0,High,80,80
RIT1,TERF2,4,1.0455372219700363,0.6326642335766426,-0.0082787305236461,-2.6579639441911356,0.3422956984528343,1.0,High,81,81
MAP2,TERF2,4,1.046123127553333,0.6326642335766426,-0.0082787305236461,-2.6579639441911356,0.3422956984528343,1.0,High,82,82
DDX5,RIT2,4,1.071171427392418,0.6867700729927009,-0.0201393514740348,-2.6579639441911356,0.3422956984528343,1.0,High,83,83
RAP1GAP,TERF2IP,4,1.047708381133159,0.5562499999999999,-0.0069586158577357,-2.6579639441911356,0.3422956984528343,1.0,High,84,84
ETV1,TERF2IP,4,1.0328272562208485,0.6311587591240873,-0.0140622616333875,-2.6579639441911356,0.3422956984528343,1.0,High,85,85
DDX5,MAP2,4,1.0717470061486587,0.6867700729927009,-0.0201393514740348,-2.6579639441911356,0.3422956984528343,1.0,High,86,86
DDX5,TLK1,4,1.064992343085903,0.7103558394160583,-0.022990293417894,-2.6579639441911356,0.3422956984528343,1.0,High,87,87
TERF2,TLK1,4,1.0393684644905736,0.65625,-0.0111296724675053,-2.6579639441911356,0.3422956984528343,1.0,High,88,88
MAP2,RIT2,4,1.0820550076342226,0.6620437956204381,-0.0146834962099715,-2.6579639441911356,0.3422956984528343,1.0,High,89,89
BRAF,TERF2IP,4,1.068876476292651,0.6687500000000002,-0.0141517385292134,-2.6579639441911356,0.3422956984528343,1.0,High,90,90
TERF2IP,KCNA2,4,1.0389073824949335,0.6300182481751824,-0.0121879791783133,-2.6579639441911356,0.3422956984528343,1.0,High,91,91
DDX5,RIT1,4,1.0711611005653623,0.6867700729927009,-0.0201393514740348,-2.6579639441911356,0.3422956984528343,1.0,High,92,92
RIT1,TLK1,4,1.075290017744413,0.685629562043796,-0.0175344381538307,-2.6579639441911356,0.3422956984528343,1.0,High,93,93
TERF2IP,TERF2,4,1.0905621198365765,0.6384580291970803,-0.0058547950086487,-2.6579639441911356,0.3422956984528343,1.0,High,94,94
DDX5,TERF2,4,1.0352395473115266,0.6573905109489049,-0.0137345857877094,-2.6579639441911356,0.3422956984528343,1.0,High,95,95
BRAF,MAP2,4,1.0244374840094066,0.662956204379562,-0.0165756740442108,-2.683795372769239,0.33835476691087996,1.0,High,96,96
BRAF,RIT2,4,1.023861905253164,0.662956204379562,-0.0165756740442108,-2.683795372769239,0.33835476691087996,1.0,High,97,97
DDX5,BRAF,4,1.0135539037676011,0.6876824817518248,-0.0220315293082742,-2.683795372769239,0.33835476691087996,1.0,High,98,98
RIT1,BRAF,4,1.023851578426112,0.662956204379562,-0.0165756740442108,-2.683795372769239,0.33835476691087996,1.0,High,99,99
KSR1,TERF2IP,4,1.0152074609004185,0.6764598540145985,-0.0060730817422635,-2.683795372769239,0.33835476691087996,1.0,High,100,100
